Log10 Density    Temperature
-16.2553         5001.1265
-16.2545         5001.3987
-16.2537         5001.6705
-16.2529         5001.9418
-16.2522         5002.2127
-16.2514         5002.4831
-16.2506         5002.7531
-16.2498         5003.0226
-16.2491         5003.2917
-16.2483         5003.5603
-16.2475         5003.8285
-16.2467         5004.0962
-16.2460         5004.3634
-16.2452         5004.6303
-16.2445         5004.8967
-16.2437         5005.1626
-16.2429         5005.4281
-16.2422         5005.6932
-16.2414         5005.9578
-16.2407         5006.2220
-16.2399         5006.4858
-16.2391         5006.7492
-16.2384         5007.0121
-16.2376         5007.2745
-16.2369         5007.5366
-16.2361         5007.7982
-16.2354         5008.0594
-16.2346         5008.3202
-16.2339         5008.5806
-16.2332         5008.8405
-16.2324         5009.1000
-16.2317         5009.3591
-16.2309         5009.6178
-16.2302         5009.8761
-16.2295         5010.1340
-16.2287         5010.3914
-16.2280         5010.6485
-16.2272         5010.9051
-16.2265         5011.1613
-16.2258         5011.4171
-16.2250         5011.6726
-16.2243         5011.9276
-16.2236         5012.1822
-16.2229         5012.4364
-16.2221         5012.6902
-16.2214         5012.9436
-16.2207         5013.1966
-16.2200         5013.4492
-16.2192         5013.7015
-16.2185         5013.9533
-16.2178         5014.2047
-16.2171         5014.4558
-16.2164         5014.7064
-16.2157         5014.9567
-16.2149         5015.2066
-16.2142         5015.4561
-16.2135         5015.7052
-16.2128         5015.9539
-16.2121         5016.2023
-16.2114         5016.4502
-16.2107         5016.6978
-16.2100         5016.9450
-16.2093         5017.1918
-16.2086         5017.4383
-16.2079         5017.6844
-16.2072         5017.9301
-16.2065         5018.1754
-16.2058         5018.4204
-16.2051         5018.6650
-16.2044         5018.9092
-16.2037         5019.1530
-16.2030         5019.3965
-16.2023         5019.6397
-16.2016         5019.8824
-16.2009         5020.1248
-16.2002         5020.3668
-16.1995         5020.6085
-16.1988         5020.8498
-16.1982         5021.0908
-16.1975         5021.3314
-16.1968         5021.5716
-16.1961         5021.8115
-16.1954         5022.0510
-16.1947         5022.2902
-16.1941         5022.5290
-16.1934         5022.7675
-16.1927         5023.0056
-16.1920         5023.2434
-16.1914         5023.4808
-16.1907         5023.7179
-16.1900         5023.9546
-16.1893         5024.1910
-16.1887         5024.4270
-16.1880         5024.6627
-16.1873         5024.8981
-16.1867         5025.1331
-16.1860         5025.3678
-16.1853         5025.6021
-16.1847         5025.8361
-16.1840         5026.0698
-16.1833         5026.3031
-16.1827         5026.5361
-16.1820         5026.7687
-16.1813         5027.0011
-16.1807         5027.2331
-16.1800         5027.4647
-16.1794         5027.6961
-16.1787         5027.9271
-16.1781         5028.1577
-16.1774         5028.3881
-16.1767         5028.6181
-16.1761         5028.8478
-16.1754         5029.0772
-16.1748         5029.3062
-16.1741         5029.5349
-16.1735         5029.7634
-16.1728         5029.9914
-16.1722         5030.2192
-16.1716         5030.4467
-16.1709         5030.6738
-16.1703         5030.9006
-16.1696         5031.1271
-16.1690         5031.3533
-16.1683         5031.5791
-16.1677         5031.8047
-16.1671         5032.0299
-16.1664         5032.2549
-16.1658         5032.4795
-16.1651         5032.7038
-16.1645         5032.9278
-16.1639         5033.1515
-16.1632         5033.3749
-16.1626         5033.5980
-16.1620         5033.8207
-16.1613         5034.0432
-16.1607         5034.2654
-16.1601         5034.4873
-16.1595         5034.7088
-16.1588         5034.9301
-16.1582         5035.1510
-16.1576         5035.3717
-16.1570         5035.5921
-16.1563         5035.8121
-16.1557         5036.0319
-16.1551         5036.2514
-16.1545         5036.4706
-16.1538         5036.6895
-16.1532         5036.9080
-16.1526         5037.1263
-16.1520         5037.3444
-16.1514         5037.5621
-16.1508         5037.7795
-16.1501         5037.9966
-16.1495         5038.2135
-16.1489         5038.4300
-16.1483         5038.6463
-16.1477         5038.8623
-16.1471         5039.0780
-16.1465         5039.2934
-16.1459         5039.5086
-16.1453         5039.7234
-16.1447         5039.9380
-16.1440         5040.1523
-16.1434         5040.3663
-16.1428         5040.5800
-16.1422         5040.7934
-16.1416         5041.0066
-16.1410         5041.2195
